Fecha,Gmuscular,Volumen
04/12/2023,Pierna,15.30
18/12/2023,Pierna,15.70
26/12/2023,Pierna,16.00
02/01/2024,Pierna,16.20
08/01/2024,Pierna,23.50
15/01/2024,Pierna,25.20
23/01/2024,Pierna,45.60
29/01/2024,Pierna,46.60
05/02/2024,Pierna,47.80
12/02/2024,Pierna,49.60
20/02/2024,Pierna,52.30
27/02/2024,Pierna,58.10
04/03/2024,Pierna,54.40
11/03/2024,Pierna,50.90
18/03/2024,Pierna,27.00
28/03/2024,Pierna,32.40
08/04/2024,Pierna,40.30
15/04/2024,Pierna,50.10
24/04/2024,Pierna,50.30
03/05/2024,Pierna,54.70
13/05/2024,Pierna,59.30
20/05/2024,Pierna,51.20
28/05/2024,Pierna,45.90
04/06/2024,Pierna,49.80
05/06/2024,Pierna,42.80
06/06/2024,Pierna,50.20
26/06/2024,Pierna,52.90
05/07/2024,Pierna,58.70
05/12/2023,Pecho,7.745
12/12/2023,Pecho,11.30
18/12/2023,Pecho,10.30
26/12/2023,Pecho,10.70
02/01/2024,Pecho,10.60
08/01/2024,Pecho,11.70
15/01/2024,Pecho,12.30
23/01/2024,Pecho,11.80
29/01/2024,Pecho,11.70
05/02/2024,Pecho,12.70
12/02/2024,Pecho,15.10
20/02/2024,Pecho,14.30
26/02/2024,Pecho,14.80
04/03/2024,Pecho,13.90
11/03/2024,Pecho,10.20
18/03/2024,Pecho,7.10
25/03/2024,Pecho,10.40
01/04/2024,Pecho,11.50
08/04/2024,Pecho,11.20
13/04/2024,Pecho,11.30
20/04/2024,Pecho,11.10
25/04/2024,Pecho,9.51
01/05/2024,Pecho,11.80
05/05/2024,Pecho,13.10
11/05/2024,Pecho,12.90
20/05/2024,Pecho,16.60
27/05/2024,Pecho,15.60
02/06/2024,Pecho,17.10
14/06/2024,Pecho,16.10
24/06/2024,Pecho,16.80
28/06/2024,Pecho,11.70
04/07/2024,Pecho,15.20
20/12/2023,Brazo,6.16
27/12/2023,Brazo,6.164
03/01/2024,Brazo,7.338
09/01/2024,Brazo,5.0902
11/01/2024,Brazo,4.572
16/01/2024,Brazo,7.796
20/01/2024,Brazo,13.20
23/01/2024,Brazo,12.00
30/01/2024,Brazo,13.90
06/02/2024,Brazo,10.00
13/02/2024,Brazo,10.80
22/02/2024,Brazo,12.20
27/02/2024,Brazo,9.93
29/02/2024,Brazo,1.80
05/03/2024,Brazo,5.20
09/03/2024,Brazo,4.93
12/03/2024,Brazo,5.10
19/03/2024,Brazo,5.02
25/03/2024,Brazo,5.71
30/03/2024,Brazo,5.78
02/04/2024,Brazo,6.25
11/04/2024,Brazo,6.24
17/04/2024,Brazo,10.40
22/04/2024,Brazo,12.00
26/04/2024,Brazo,13.50
30/04/2024,Brazo,14.20
04/05/2024,Brazo,12.20
09/05/2024,Brazo,11.40
14/05/2024,Brazo,15.90
21/05/2024,Brazo,9.98
25/05/2024,Brazo,16.40
31/05/2024,Brazo,16.30
06/06/2024,Brazo,14.00
12/06/2024,Brazo,15.80
18/06/2024,Brazo,16.90
22/06/2024,Brazo,11.10
25/06/2024,Brazo,17.70
02/07/2024,Brazo,6.38
20/12/2023,Abdomen,6.16
05/01/2024,Abdomen,3.86
11/01/2024,Abdomen,6.44
18/01/2024,Abdomen,7.17
25/01/2024,Abdomen,12.70
02/02/2024,Abdomen,11.70
06/02/2024,Abdomen,6.00
08/02/2024,Abdomen,15.50
09/02/2024,Abdomen,7.11
13/02/2024,Abdomen,14.20
20/02/2024,Abdomen,13.70
27/02/2024,Abdomen,18.20
29/02/2024,Abdomen,10.80
05/03/2024,Abdomen,23.60
09/03/2024,Abdomen,13.70
12/03/2024,Abdomen,11.20
19/03/2024,Abdomen,11.10
26/03/2024,Abdomen,9.55
02/04/2024,Abdomen,12.80
09/04/2024,Abdomen,13.00
13/04/2024,Abdomen,8.85
17/04/2024,Abdomen,13.80
22/04/2024,Abdomen,14.00
15/04/2024,Abdomen,9.50
27/04/2024,Abdomen,12.80
30/04/2024,Abdomen,14.10
02/05/2024,Abdomen,13.70
09/05/2024,Abdomen,10.10
14/05/2024,Abdomen,14.60
16/05/2024,Abdomen,13.40
21/05/2024,Abdomen,13.40
23/05/2024,Abdomen,7.93
25/05/2024,Abdomen,9.37
29/05/2024,Abdomen,13.70
30/05/2024,Abdomen,7.47
02/06/2024,Abdomen,12.80
04/06/2024,Abdomen,8.60
06/06/2024,Abdomen,12.00
12/06/2024,Abdomen,12.90
14/06/2024,Abdomen,6.45
15/06/2024,Abdomen,9.70
18/06/2024,Abdomen,13.20
24/06/2024,Abdomen,9.98
